Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,1341.150024,1347.400024,1317.500000,1322.800049,1152.955566,1351760
2018-01-02,1330.000000,1334.800049,1310.099976,1315.599976,1146.680176,1920290
2018-01-03,1316.000000,1334.500000,1315.599976,1319.324951,1149.927002,1257120
2018-01-04,1325.000000,1331.000000,1320.000000,1328.550049,1157.967163,913082
2018-01-05,1325.000000,1349.750000,1325.000000,1344.599976,1171.956543,1153706
2018-01-08,1350.000000,1363.425049,1340.925049,1357.199951,1182.938843,1242220
2018-01-09,1357.500000,1360.500000,1338.275024,1354.500000,1180.585449,2149396
2018-01-10,1355.500000,1408.000000,1347.324951,1403.300049,1223.119751,3365850
2018-01-11,1405.000000,1410.949951,1391.099976,1395.250000,1216.103516,2520744
2018-01-12,1402.500000,1402.500000,1370.275024,1388.175049,1209.936768,3360314
2018-01-15,1388.574951,1404.000000,1367.525024,1373.050049,1196.753784,1457214
2018-01-16,1378.000000,1430.824951,1375.275024,1425.425049,1242.403809,4267752
2018-01-17,1435.000000,1462.500000,1431.074951,1444.474976,1259.007690,4280806
2018-01-18,1448.500000,1466.500000,1434.025024,1459.099976,1271.755005,2209478
2018-01-19,1465.275024,1491.000000,1451.824951,1479.650024,1289.666626,1820000
2018-01-22,1480.500000,1567.349976,1461.000000,1558.199951,1361.351196,4367110
2018-01-23,1557.474976,1571.175049,1545.025024,1551.000000,1355.060669,3239610
2018-01-24,1545.000000,1629.525024,1541.324951,1587.300049,1386.775024,5621538
2018-01-25,1587.500000,1589.900024,1540.500000,1560.525024,1363.382324,3833844
2018-01-29,1565.699951,1612.500000,1561.000000,1599.425049,1397.368286,3141060
2018-01-30,1590.000000,1601.900024,1571.849976,1576.425049,1377.273804,1574758
2018-01-31,1568.500000,1575.000000,1549.300049,1556.175049,1359.582153,3043214
2018-02-01,1562.000000,1595.000000,1544.400024,1569.300049,1371.048706,2400630
2018-02-02,1560.000000,1595.000000,1551.724976,1576.824951,1377.622925,2456490
2018-02-05,1555.000000,1594.000000,1538.425049,1551.599976,1355.584839,2757742
2018-02-06,1505.000000,1538.574951,1492.500000,1498.625000,1309.302368,2657306
2018-02-07,1513.500000,1515.500000,1473.724976,1477.525024,1290.868164,2180324
2018-02-08,1489.875000,1513.800049,1479.500000,1487.099976,1299.233276,2755004
2018-02-09,1475.000000,1497.000000,1448.324951,1485.849976,1298.141235,2102458
2018-02-12,1489.150024,1511.675049,1477.775024,1483.650024,1296.219360,1974562
2018-02-14,1485.000000,1487.224976,1446.250000,1455.900024,1271.974731,2847532
2018-02-15,1465.974976,1471.500000,1452.550049,1462.925049,1278.112183,2465236
2018-02-16,1461.500000,1499.800049,1461.500000,1466.525024,1281.257690,2515756
2018-02-19,1472.500000,1476.650024,1447.599976,1461.800049,1277.129639,1568224
2018-02-20,1464.000000,1492.525024,1463.949951,1472.375000,1286.368652,1889068
2018-02-21,1487.000000,1531.300049,1480.025024,1521.150024,1328.981201,3089228
2018-02-22,1526.000000,1539.500000,1511.250000,1525.099976,1332.432861,3463010
2018-02-23,1525.000000,1544.500000,1496.050049,1537.900024,1343.615845,3362500
2018-02-26,1537.500000,1544.974976,1510.599976,1515.849976,1324.351074,1363882
2018-02-27,1520.500000,1539.275024,1516.000000,1521.175049,1329.003784,1717800
2018-02-28,1517.500000,1531.974976,1510.724976,1517.525024,1325.814697,2706864
2018-03-01,1524.500000,1530.599976,1510.000000,1518.849976,1326.972290,1718124
2018-03-05,1524.500000,1556.824951,1516.474976,1552.925049,1356.742432,2858168
2018-03-06,1561.000000,1563.500000,1515.074951,1521.400024,1329.199951,1906764
2018-03-07,1535.000000,1544.500000,1509.250000,1513.724976,1322.494751,1917772
2018-03-08,1527.449951,1527.449951,1493.750000,1501.974976,1312.229126,1951826
2018-03-09,1502.500000,1531.599976,1488.599976,1517.050049,1325.399658,1872436
2018-03-12,1521.500000,1541.949951,1517.750000,1526.074951,1333.284424,2091340
2018-03-13,1462.449951,1469.849976,1436.000000,1443.400024,1261.053955,88067154
2018-03-14,1446.474976,1461.525024,1437.525024,1443.449951,1261.097412,3668668
2018-03-15,1447.500000,1451.275024,1427.800049,1434.849976,1253.583496,2348906
2018-03-16,1434.400024,1436.000000,1402.500000,1412.849976,1234.363159,7197482
2018-03-19,1414.500000,1424.000000,1410.000000,1415.500000,1236.678345,3489940
2018-03-20,1410.000000,1436.599976,1409.500000,1432.425049,1251.465332,4024984
